pat_no_CCL/375/240$
9042680
9042669
9042461
9042460
9042459
9042458
9042457
9042456
9042455
9042454
9042453
9042452
9042451
9042450
9042449
9042448
9042447
9042446
9042445
9042444
9042443
9042442
9042441
9042440
9042439
9041800
9041767
9037437
9036944
9036717
9036716
9036715
9036714
9036713
9036712
9036711
9036710
9036709
9036707
9036706
9036705
9036704
9036703
9036702
9036701
9036700
9036699
9036698
9036697
9036695
9036694
9036693
9036692
9036661
9036092
9036082
9036081
9036042
9035991
9032467
9032276
9032274
9031346
9031332
9031176
9031138
9031137
9031136
9031135
9031134
9031133
9031132
9031131
9031130
9031129
9031128
9031127
9031126
9031125
9026790
9025899
9025885
9025677
9025676
9025675
9025674
9025673
9025672
9025671
9025670
9025669
9025668
9025667
9025666
9025665
9025664
9025663
9025662
9025661
9025660
9025659
9025658
9025657
9025639
9021119
9020814
9020294
9020078
9020048
9020047
9020046
9020045
9020044
9020043
9020042
9020041
9020040
9020039
9020038
9020037
9020036
9020035
9020034
9020033
9020032
9020031
9020030
9020029
9020028
9019393
9014499
9014421
9014280
9014279
9014278
9014277
9014276
9014275
9014274
9014273
9014272
9014271
9014270
9014269
9014268
9014267
9014266
9014265
9014264
9014263
9014262
9014261
9014260
9014259
9014258
9014257
9014256
9014255
9014209
9013549
9013535
9008450
9008449
9008192
9008191
9008190
9008189
9008188
9008187
9008186
9008185
9008184
9008183
9008182
9008181
9008180
9008179
9008178
9008177
9008176
9008175
9008174
9008173
9008172
9008171
9008170
9007525
9003274
9003076
9002126
9002124
9002122
9001899
9001898
9001897
9001896
9001895
9001894
9001893
9001892
9001891
9001890
9001889
9001888
9001887
9001886
9001885
9001884
9001883
9001882
9001701
9001225
8997141
8996052
8995536
8995535
8995534
8995533
8995532
8995531
8995530
8995529
8995528
8995527
8995526
8995525
8995524
8995523
8995522
8994789
8990879
8989503
8989281
8989280
8989279
8989278
8989277
8989276
8989275
8989274
8989273
8989272
8989271
8989270
8989269
8989268
8989267
8989266
8989265
8989264
8989263
8989262
8989261
8989260
8989259
8989258
8989257
8989256
8989255
8988609
8988486
8984587
8984570
8984569
8983275
8983225
8983217
8982966
8982965
8982964
8982963
8982962
8982961
8982960
8982959
8982958
8982957
8982956
8982955
8982954
8982953
8982952
8982951
8982950
8982949
8982948
8982947
8982946
8982945
8982944
8982943
8982942
8982932
8981971
8977546
8977206
8977065
8977060
8976873
8976872
8976871
8976870
8976869
8976868
8976867
8976866
8976865
8976864
8976863
8976862
8976861
8976860
8976859
8976858
8976857
8976856
8976762
8976299
8976223
8976220
8973075
8971648
8971448
8971419
8971418
8971417
8971416
8971415
8971414
8971413
8971412
8971411
8971410
8971409
8971408
8971407
8971406
8971405
8971404
8971403
8971402
8971401
8971400
8970916
8970710
8966349
8965139
8965135
8964977
8964859
8964858
8964857
8964856
8964855
8964854
8964853
8964852
8964851
8964850
8964849
8964848
8964847
8964846
8964845
8964844
8964843
8964842
8964841
8964840
8964839
8964838
8964837
8964836
8964835
8964834
8964833
8964832
8964831
8964830
8964829
8964828
8963944
8963747
8959022
8959018
8958653
8958633
8958486
8958485
8958484
8958483
8958482
8958481
8958480
8958479
8958478
8958477
8958476
8958475
8958474
8958473
8958472
8958014
8957965
8954829
8954540
8953898
8953877
8953694
8953693
8953692
8953691
8953690
8953689
8953688
8953687
8953686
8953685
8953684
8953683
8953682
8953681
8953680
8953679
8953678
8953677
8953676
8953675
8953674
8953673
8953672
8953671
8953646
8953639
8953511
8953038
8949373
8948777
8948272
8948271
8948270
8948269
8948268
8948267
8948266
8948265
8948264
8948263
8948262
8948261
8948260
8948259
8948258
8948257
8948256
8948255
8948254
8948253
8948252
8948251
8948250
8948249
8948248
8948247
8948246
8948245
8948244
8948243
8948242
8948241
8947550
8947539
8947538
8947492
8942548
8942493
8942490
8942296
8942295
8942294
8942293
8942292
8942291
8942290
8942289
8942288
8942287
8942286
8942285
8942284
8942283
8942282
8942259
8938125
8938013
8938012
8938011
8938010
8938009
8938008
8938007
8938006
8938005
8938004
8938003
8938002
8938001
8938000
8937999
8937998
8937997
8937914
8935162
8935161
8934935
8934553
8934552
8934551
8934550
8934549
8934548
8934547
8934546
8934545
8934544
8934543
8934542
8934541
8934540
8934539
8934538
8934537
8934536
8934535
8934534
8934533
8934532
8934531
8934530
8934529
8934055
8934020
8933989
8933953
8930197
8929464
8929463
8929462
8929461
8929460
8929459
8929458
8929457
8929456
8929455
8929454
8929453
8929452
8929451
8929450
8929449
8929448
8929447
8929446
8929445
8929444
8929443
8929442
8929441
8929440
8929439
8929438
8929437
8929436
8929434
8929433
8929432
8928815
8928814
8928804
8928733
8924582
8923688
8923634
8923633
8923449
8923411
8923410
8923409
