pat_no_TTL/PAPR
9780846
9742608
9712361
9692627
9686757
9667463
9641373
9635529
9614712
9544160
9537697
9479375
9431966
9420546
9407488
9350505
9287943
9276794
9237050
9210020
9160579
9160277
9094158
9054929
9031157
9001066
8934854
8824574
8804873
8804869
8798181
8774258
8625807
8576774
8571000
8526529
8520494
8509324
8494087
8472537
8374074
8264946
8218670
8208567
8189697
8185065
8175178
8169959
8165232
8160166
8160165
8040787
8027398
8019006
8009764
7974258
7929414
7916694
7873118
7796498
7787546
7664192
7496028
7418041
7342978
7340006
7319723
7315580
7313195
